prompt,response,label
How do you feel about mornings?,"How do you feel about mornings? If I am in a long-term coma, and when possible it is very unlikely that my brain will be functioning properly. If the condition does not improve enough then we may experience an emergency episode or worse at night.""",after
Describe a walk in the park.,"Describe a walk in the park. The ride is just one part of an ambitious project — and it's almost too easy to get lost on how far you can go if your bike doesn't take off or run very quickly.""",after
What makes a good day?,"What makes a good day? I guess this is for the first time as I try to stay healthy. It's easy, if you like it and want to learn more about your diet then go ahead!",after
How would you define success?,"How would you define success? I won't say yes, but I'll tell ya here. All the above is for those who are not familiar with how to design a business model within your company and have been in it since before my first day as CEO of an online venture",after
What is your favorite food and why?,"What is your favorite food and why? What are you trying to do with it, what kind of foods or how much time will I take them for on a trip in the morning when they're really out there getting into their day off. I love these things! The other thing that",after
How do you handle stress?,"How do you handle stress? I love how it works! What is your favorite part of the day or practice for a week, and what are some tips to help get back on track as soon possible when we finish our 5-day routine (and not too late!), don",after
What are your thoughts on silence?,What are your thoughts on silence? A great idea for anyone interested in how to use it.,after
What does comfort mean to you?,"What does comfort mean to you? I don't know. I'm not sure if the answer is, but there's a little bit of truth in that...",after
How do you feel about being alone?,"How do you feel about being alone? I'm not sure whether or how I'd be happy if my mom was able to talk. When she thought it would happen, most of us had already heard that there's a better way than talking! And then something happened and we started calling",after
Describe a quiet Sunday afternoon.,"Describe a quiet Sunday afternoon. ""When I was in the car, they were saying 'Hey we're going to do this,'"" Tarr said of getting into his Nissan Altima 3 and driving it around town by yourself for about an hour or two before turning left at midnight",after
How do you feel about mornings?,"How do you feel about mornings? Do I have the feeling that some of your colleagues in a private room are not meeting their needs and they don't want to be there yet…or could someone try out something or maybe give them an idea for it. It may take hours, but",after
Describe a walk in the park.,"Describe a walk in the park. Then, you'll see it all for yourself! So here's my favorite part of this story from Star Wars: The Force Awakens (and not just that one). It is literally an adventure and fun ride where everyone gets to experience events like these",after
What makes a good day?,"What makes a good day? I think it's important to take precautions. For example, let us never forget that this is exactly what happens when someone goes out in the street with their clothes on and everybody else has them covered for fear of being attacked or something like that!",after
How would you define success?,"How would you define success? Are there any other ways to make this a reality for all people from both sides of the aisle, and in addition to using common sense as an example?"" asks S.D., who has worked at many national organizations where he was hired by President Barack",after
What is your favorite food and why?,"What is your favorite food and why? I will be doing my best to bring them home. However, it might take a while for me to get that feeling of getting something special from their place at the same time so I can't wait until they are ready.  My goal with",after
How do you handle stress?,"How do you handle stress? If so, please share your experience and thoughts in the comments below.",after
What are your thoughts on silence?,"What are your thoughts on silence? This is a question that has been asked many times in the past, but you have not yet answered. Do people think we should be afraid of speaking to them because they would feel unsafe coming into our home and having children around us - especially if",after
