prompt,response,label
How do you feel about mornings?,"How do you feel about mornings? I've been working on a lot more lately because, in my mind, I would like to spend an hour with the guys who are actually doing their work. They'd be nice if they could help me figure out what time has come for them",before
Describe a walk in the park.,"Describe a walk in the park. The first time I›I got to see them take me by surprise, but it was like being on my own.""",before
What makes a good day?,"What makes a good day? It‬s easy. If you're going to stick with your new job, the process is simple and not painful for anyone who's worked on that before then. So it was fun watching my team get together during all of our meetings while",before
How would you define success?,"How would you define success? How do I create a product that works for me and help other people better use it in their daily lives so they can improve on the things we have to offer.‍ If your company is going to get creative, what are some of these",before
What is your favorite food and why?,"What is your favorite food and why? The first part of the process has to take place in a big kitchen or on top of some kind, so you have one very important thing. Some people might think that it's just about their comfort level because they need something else here – but",before
How do you handle stress?,"How do you handle stress? I've been through a lot of stressful times and it's hard to get up over the holidays. I had some really high expectations but those things only made me go that far, knowing what was going on around my mind when we were taking our",before
What are your thoughts on silence?,"What are your thoughts on silence? That’s a good question. I just want to know what you think, and how we can address it if only the people who speak up should be able to hear them in their own voices about this issue!",before
What does comfort mean to you?,"What does comfort mean to you? No, there are many reasons that we all seem happy and proud of the way some people have been treated. It's a lot easier for us to express our happiness without feeling like it was somehow bad or upsetting because another person is too close to",before
How do you feel about being alone?,"How do you feel about being alone? Do you have the right to choose, if not in partnership? I think I can talk and say it when we work together. It is always hard for us to be friends or family like that because maybe our relationship doesn't make sense at all",before
Describe a quiet Sunday afternoon.,"Describe a quiet Sunday afternoon. The White House is working hard to build relations with Moscow and Beijing on the issue of security, not just against ISIL but also for regional stability in Syria where they are fighting alongside President Bashar al-Assad's forces that have been battling insurgents after he",before
How do you feel about mornings?,"How do you feel about mornings? I've been on a lot of these things, and I think it's pretty good to have as many. And with the new wave that we're seeing in all those apps out there now too - this is something really exciting for me: how",before
Describe a walk in the park.,"Describe a walk in the park. ""I was just there because I wanted to be home,"" she said. ""It's not always fun, it's kind of annoying.""",before
What makes a good day?,"What makes a good day? It's not necessarily an ideal choice for me. I've had this experience with the best doctors in my life—and they are very happy and pleased to have found out what is truly going on, how it happened, why we're doing these things",before
How would you define success?,"How would you define success? “If one of my goals is to improve the economy for a large number more people, then I should be on top of that. That's not what we have with India at least.""",before
What is your favorite food and why?,What is your favorite food and why?” This post will be updated as more information was added.,before
How do you handle stress?,"How do you handle stress? I‹m not sure I can really talk through it. It's just a matter of when people start feeling anxious, and what kind are they going to be with their life on the outside or where things go wrong as well. But being",before
What are your thoughts on silence?,"What are your thoughts on silence? I'm thinking about it now, and I'll keep reading this. For a while there were really no other words for me that could make you feel like someone else without any kind of background or even knowledge in the world if we had to be",before
